timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:46.524	2775.0	13801.0	599.91	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.624	2775.0	13801.0	599.93	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.724	2775.0	13801.0	599.93	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.825	2775.0	13801.0	599.93	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.925	2775.0	13801.0	599.93	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.025	2775.0	13801.0	599.93	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.125	2775.0	13801.0	600.07	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.225	2775.0	13801.0	600.07	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.326	2775.0	13801.0	600.07	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.426	2775.0	13801.0	600.07	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.526	2775.0	13801.0	600.07	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.626	2775.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.726	2775.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.827	2775.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:47.927	2775.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.027	2775.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.128	2775.0	13801.0	599.95	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.228	2775.0	13801.0	599.95	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.328	2775.0	13801.0	599.95	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.428	2775.0	13801.0	599.95	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.529	2767.0	13801.0	599.95	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.629	2767.0	13801.0	600.04	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.729	2767.0	13801.0	600.04	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.829	2767.0	13801.0	600.04	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:48.930	2767.0	13801.0	600.04	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.030	2767.0	13801.0	600.04	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.130	2767.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.230	2767.0	13801.0	599.98	52.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.331	2767.0	13801.0	599.98	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.431	2767.0	13801.0	599.98	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.531	2767.0	13801.0	599.98	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.631	2767.0	13801.0	600.04	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.731	2767.0	13801.0	600.04	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.832	2767.0	13801.0	600.04	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:49.932	2767.0	13801.0	600.04	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.032	2767.0	13801.0	600.04	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.132	2767.0	13801.0	599.88	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.232	2767.0	13801.0	599.88	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.332	2767.0	13801.0	599.88	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.433	2767.0	13801.0	599.88	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
